empresa;documento;número de ordens
Wam;25309101000170;0
SIDERQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S.A;73586976000161;0
D S COSME CONFECCAO;18787496000150;0
SEED;76416965000121;0
MARCLEAN;24070544000198;0
RETALHAR COSTURANDO IDEIAS;21416009000158;0
SERVER QUIMICA;04900875000281;0
PR SEC GABINETE DO SECRETARIO;76416965000121;0
Barbosa Di Berardo;27947929000189;0
0646 COND. EDIF. RES. IDEALE MOOCA;12.984.106/0001-56;0
Editora Metha;47672399000110;0
ConectWi;15527632000185;0
Francisco;19620562000166;0
T4 SOLUTIONS;96491128000174;0
Senac;03709814003618;0
Alfa Livraria e papelaria ;09643905000154;0
TECMIX PERFORMANCE INDUSTRIAL ;28849930000133;0
SHOPPING CENTER ''D'';00087900000118;0
0655 EDIFICIO CAMPO BELO GOLDEN TOWER;02.340.353/0001-66;0
VICENZA PANIFICADORA E CONFEITARIA LTDA - ME;13246576000185;0
OPEN CONTROLS;27612193000198;0
Açaí Magnífico - Vila Romana;31268393000142;0
BIANCULLI & COSTA PRODUCOES E COMERCIO DE ELETRONICOS LTDA;22953003000182;0
Editora HTC;11803694000111;0
Casa de Repouso Mooca Bem Me Care;11983349000107;0
Tecnogera;08100057000174;0
Sesc Protásio Alves ;03575238000214;0
Conex;28560389000149;0
Pleno Fotografia ;19926271000109;0
casdf;79114651000162;0
1135 COND. EDIF. RIO TEJO;54.002.076/0001-85;0
Evool Tecnologia;24449177000138;0
Teste;83493095000150;0
PROJETA ENGENHARIA;12577657000103;0
Ferraz Group;48619905000170;0
MUNDIAL ATACADISTA;01713958000354;0
HARMONIA TERCEIRIZACOES;14874144000181;0
GIANNONE TRANSPORTES LTDA;08186591000145;0
FIT;21873863000143;0
RobsonRamosAbrao;15980718000169;0
CEAGESP - COMPANHIA DE ENTREPOSTOS E ARMAZENS GERAIS DE SAO PAULO;62463005000108;0
SENAI;03774819001761;0
SOLUFIRE SOLUCOES CONTRA INCENDIO;23149372000180;0
capsoft;44578031000108;0
Impermix;75058149000120;0
Jose;17616481000167;0
AMERICANA DESCARTAVEIS;05826245000196;0
Mercado Santa Rita;02522851000120;0
GLOBALPACK ;04558449000392;0
SOLID EQUIPAMENTOS;15086280000170;0
Cota;24672820000198;0
Gás tupo;44341493000107;0
EDITORA DCL;60444098000106;0
Plastok;08983806000159;0
Editora VestSeller;07519426000103;0
0952 CONDOMINIO MAXHAUS CELO;19.163.917/0001-35;0
Azuli;11121708000117;0
Quadrante Editora ;28806912000174;0
casa do game;04215707000176;0
ATM Asfaltos;27728911000196;0
Mackenzie;60967551000150;0
Piscina Fácil;10879917000161;0
LB SOLUÇÕES DE INFORMÁTICA E SUPRIMENTOS;30699504000102;0
HARMONIA TERCEIRIZACOES;14874144000181;0
MARIA DE FATIMA RODRIGUES DE ANDRADE TAMANINI;27850744000151;0
Restaurante Parada do Churrasco;28126521000109;0
COMPESA;09769035000164;0
GS SOUTO;04949655000161;0
HARMONIA TERCEIRIZACOES;14874144000181;0
H8;26650191000120;0
Low BBQ BAR;30400570000130;0
Grupo Vida Natural Hortalicas;11677480000146;0
HADASS;07967729000180;0
Lumav;30831828000152;0
Metropole;51889608000150;0
AAE COLÉGIO ESTADUAL HILKA DE ARAUJO PEÇANHA;01943611000136;0
AGROVEIGA - MATRIZ;56541287000111;0
EDITORA EUROPA;56934599000195;0
Kimberlit;61167060000198;0
Pangea trade;21830015000157;0
BASE FLUVIAL DE LADÁRIO;00394502005294;0
ULTRAFAR;07555491000186;0
Primer Construtora;27338798000132;0
Marinho Informatica;03032295000176;0
Não tenho;36609156000111;0
CODEMAR S.A.;20009382000121;0
COFIBAM ;43563840000175;0
Prefeitura de Poá;55021455000185;0
Five Hunt;77776541000130;0
Macacos Hidraulicos;02752182000182;0
Merc;88664448000150;0
Bar e lanchonete Dona Maria;14034415000190;0
WaM;25309101000170;0
BBM PORTO BRÁS;20423126000186;0
Dvicz Sorvetes;81073090000142;0
KURUMÁ VEÍCULOS;00827783000181;0
Worth a Million;25309101000170;0
TIQUATIRAO FRUTOS DO MAR;10858459000184;0
Gnova-XLAB ;09160240000128;0
Fogás;04563672000166;0
00960 - COND. EDIF. YANG BROOKLIN;24902212000122;0
SENAI;03774819001761;0
WYDE ENGENHARIA;05463902000188;0
IdGroup Brasil;05566268000109;0
SET SISTEMAS E PRODUTOS TECNICOS LTDA;00185372000130;0
Ecotech;12125717000149;0
Leozao Fantasia;05047198000182;0
AGUSTINE.CO;31078209000100;0
DIRETO DA SERRA;22102703000163;0
WS SOLUÇÕES INTEGRADAS ;32155410000106;0
Editora bambole;22622213000198;0
CJ Piramides;60281482000127;0
SPTURIS;62002886000160;0
MACKENZIE;60967551000150;0
Solutions;30563249000176;0
Aramacanb;57510760000166;0
aguia de ouro distribuidora de alimentos;25142346000155;0
ANDRA MATERIAIS ELÉTRICOS;47674429000128;0
Conflan;60520012000179;0
LOPES IMOBILIARIA;08078847000109;0
Gnova-Brasília ;09160240000128;0
White Martins;35820448009869;0
Gnova-PCom ;09160240000128;0
Escola Camb;27970269000157;0
EDITORA DCL;60444098000106;0
TAJ MAHAL;13307082000163;0
Shopping La Playa;03007996000155;0
GEMANTEC EMPILHADEIRAS;08060484000176;0
FARG SOLUÇÕES;18618294000185;0
ESCOLA DE INTELIGENCIA;11468719000178;0
Nativa Produtos Naturais;27866661000150;0
INTELIT;10682187000104;0
Valve Engenhari;26713385000128;0
718	CONDOMÍNIO PRAÇA MOOCA;-;0
707	COND. CONQUISTA JARDIM AMARALINA;33434857000179;0
Ewqoepqo;46418027000108;0
876 - CONJ. RES. MAURO E BRAIDO;59936112000100;0
Freitas Pozzatti Solucoes Imobiliarias;10823231000159;0
0910 - COND. EDIF. PARAISO;54219845000100;0
Gnova-BH ;09160240000128;0
asdasdasda;96417135000126;0
PREFEITURA MUNICIPAL DE PORTO ESTRELA;24740268000128;0
AGILLUX SOLUÇÕES ELÉTRICAS ;23488557000119;0
809 EDIFICIO RESIDENCIAL UPCON ITACEMA;-;0
TUPY;84683374000300;0
978 - COND. THE PLACE ED. - CANÁRIO E INHAMBU;13042127000115;0
torio brasil;07240707000114;0
WDK Roupas e Acessorios;31641081000132;0
989 - Conjunto Residencial Mirante da Lapa;59482653000105;0
Mackenzie;60967551000150;0
ENGEFORM DESENVOLVIMENTO IMOBILIARIO;16604261000150;0
983 - CONDOMÍNIO CAMPO BELO MEDICAL CENTER;08818926000109;0
HABITACIONAL COMERCIAL E ADMINISTRADORA LTDA;62309216000190;0
JAU;37344413000101;0
Si Senor - Sede Administrativa;10291637000138;0
ALLIED S/A;4416818005533;0
3CAFFI INDUSTRIA E COMERCIO DE CAPSULAS S.A ;19675900000167;0
ALLIED TECNOLOGIA S.A;20247322009012;0
teste empresa;45254854000158;0
Sesc;03591097000657;0
BLP;27402383000180;0
0294 - COND. EDIF. PARACATU;12.488.876/0001-08;0
RENAULT DO BRASIL;00913443000173;0
0959 - COND. EDIF. TAPAJÓS;00154437000180;0
VEPER SERVIÇOS DE VIGILANCIA;01848003000142;0
SUPPLY PLUS SOURCING & PROCUREMENT EXPERTS;22208624000131;0
999 CONDOMÍNIO RESIDENCIAL MOMA;33222322000134;0
0968 - CONDOMÍNIO EDIFÍCIO VILLA DEI FIORI;57866493000164;0
736 CONDOMÍNIO ANDORRA - EDIF. BILBAO;;0
703 CONDOMINIO LINK IPIRANGA;33551496000140;0
imprimindo;03927250000160;0
Gnova-Experience ;09160240000128;0
0967 - COND. EDIF. LIBER VILLAGE CAMPO LIMPO;19831898000178;0
3CORACOES NORTE COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.;27774514000150;0
724 - Condomínio Resid. Lírio Morumbi;-;0
COREN - SP;44413680000140;0
0669 COND. EDIF. MY PLACE;15.675.369/0001-71;12
994 CONDOMÍNIO EDIFÍCIO LINO 748;-;0
Gnova-Conteudo & Video ;09160240000128;0
ALLIED TECNOLOGIA S.A.;20247322016736;0
904 - EDIF. COMERCIAL PRAXX ITATIBA;-;0
976 - CONDOMÍNIO TERRAVISTA VILAS;10802928000143;0
ALLIED TECNOLOGIA S.A.;20247322001380;0
0720 - COND. RESIDENCIAL PASSEIO MORUMBI;-;0
ALLIED TECNOLOGIA S.A.;20247322002786;0
0996 - Condomínio Edifício Palais Blanc;07480584000199;0
717	COND. EDIF. MOVVA SP;-;0
705	COND. EDF. CONQUISTA PARQUE HIPOLITO;35618108000127;0
ALLIED TECNOLOGIA S.A.;20247322007907;0
0984 - CONDOMINIO EDIFICIO JUPITER;10346275000135;0
716	COND. EDIF. VIVA VIDA FIGUEIRAS;-;0
975 - EDIFICIO MAISON D'AMBOISE;01398968000180;0
980 CONDOMÍNIO ROYAL ALTO DO IPIRANGA;-;0
ALLIED TECNOLOGIA S.A.;20247322011181;0
1161 - COND. EDIF. PEROLA;71731053000120;0
ALLIED TECNOLOGIA S.A.;20247322007664;0
982	CONDOMINIO EDIFICIO ORQUIDEAS;57184046000125;0
ALLIED TECNOLOGIA S.A.;20247322010886;0
981	CONDOMINIO EDIFICIO PLAZA JK;3815535000109;0
995 RESIDENCIAL VILA DO BOSQUE ITAPEVI;33889803000106;0
943 COND. EDIF. SIMONE;54459292000154;0
709	COND. EDIF. SOLAR DOS PALMARES;65088841000148;0
986 CONDOMÍNIO CONQUISTA VILA SÔNIA;33433710000164;0
708 COND. SIDE ATLÂNTICA;-;0
714	VIVAMAR - CONDOMINIO CANÁRIO;-;0
712	COND. EDIF. ADRIANA;55233191000123;0
ALLIED TECNOLOGIA S.A.;20247322008989;0
ALLIED TECNOLOGIA S.A.;20247322021225;0
706	VIVAMAR - CONDOMÍNIO BEM TE VI ;-;0
991 - CONDOMÍNIO 22 DE MARÇO;-;0
971 CONDOMINIO CLIMA DO BOSQUE;11880551000103;0
756 CONDOMÍNIO RESERVA DO ALTO;37681257000166;0
ALLIED S/A;4416818005029;0
ALLIED TECNOLOGIA S.A.;20247322006692;0
735 CONDOMINIO CITIZEN PAULISTA;-;0
ALLIED TECNOLOGIA S.A.;20247322011262;0
ALLIED S/A;4416818004308;0
ALLIED S/A.;4416818003247;0
979 COND. PRAÇA ESTAÇÃO JANDIRA;-;0
ALLIED TECNOLOGIA S.A.;20247322010703;0
ALLIED TECNOLOGIA S.A.;20247322008717;0
ALLIED TECNOLOGIA S.A.;20247322022620;0
972 EDIFICIO RG OSCAR;33031912000180;0
ALLIED S/A.;4416818005290;0
ALLIED S.A.;4416818000655;0
ALLIED TECNOLOGIA S.A.;20247322020504;0
988 - CONDOMINIO EDIFICIO MODULAR OMICRON;53833166000155;0
710 COND. LIVING WISH LAPA;-;0
998 CONDOMÍNIO SOL DA SAÚDE RESIDENCIAL;13163866000165;0
ALLIED TECNOLOGIA S.A.;20247322010614;0
ALLIED S/A.;4416818004308;0
ALLIED TECNOLOGIA S.A.;20247322022540;0
ALLIED TECNOLOGIA S.A.;20247322011424;0
723 - COND. EDIF. UPLIFE INTERLAGOS;-;0
ALLIED TECNOLOGIA S.A.;20247322008636;0
ALLIED TECNOLOGIA S.A.;20247322023783;0
ALLIED S.A.;4416818004057;0
ALLIED TECNOLOGIA S.A.;20247322008474;0
ALLIED TECNOLOGIA S.A.;20247322001119;0
733 VIVAMAR – CONDOMÍNIO SABIA;;0
ALLIED TECNOLOGIA S.A.;20247322022701;0
713	CONDOMÍNIO ANDORRA - EDIF. D'ORSAY;-;0
ALLIED TECNOLOGIA S.A.;20247322020768;0
ALLIED TECNOLOGIA S.A.;20247322023007;0
ALLIED S.A.;4416818005371;0
ALLIED TECNOLOGIA S.A.;20247322015250;0
990 - CONDOMÍNIO EDIFÍCIO ETRE PERDIZES;20092718000162;0
ALLIED TECNOLOGIA S.A.;20247322014105;0
ALLIED TECNOLOGIA S.A.;20247322001208;0
ALLIED TECNOLOGIA S.A.;20247322009365;0
ALLIED TECNOLOGIA S.A.;20247322021306;0
ALLIED TECNOLOGIA S.A.;20247322011343;0
ALLIED TECNOLOGIA S.A.;20247322009608;0
ALLIED TECNOLOGIA S.A.;20247322005963;0
ALLIED TECNOLOGIA S.A.;20247322008202;0
ALLIED TECNOLOGIA S.A.;20247322008393;0
ALLIED TECNOLOGIA S.A.;20247322004720;0
ALLIED TECNOLOGIA S.A.;20247322001208;0
ALLIED TECNOLOGIA S.A.;20247322006935;0
ALLIED TECNOLOGIA S.A.;20247322009446;0
992	ASSOCIAÇÃO PRAÇAS DA CIDADE;24568518000194;0
ALLIED TECNOLOGIA S.A.;20247322002433;0
ALLIED TECNOLOGIA S.A.;20247322015330;0
ALLIED TECNOLOGIA S.A.;20247322010290;0
ALLIED TECNOLOGIA S.A.;20247322017899;0
997 VILLA FELICITA BONSUCESSO;-;0
ALLIED TECNOLOGIA S.A.;20247322004134;0
ALLIED TECNOLOGIA S.A.;20247322009284;0
ALLIED TECNOLOGIA S.A.;20247322008717;0
ALLIED TECNOLOGIA S.A.;20247322004215;0
ALLIED TECNOLOGIA S.A.;20247322009799;0
ALLIED TECNOLOGIA S.A.;20247322023600;0
ALLIED S/A;4416818004057;0
ALLIED TECNOLOGIA S.A.;20247322010967;0
ALLIED TECNOLOGIA S.A.;20247322010371;0
ALLIED TECNOLOGIA S.A.;20247322007230;0
ALLIED TECNOLOGIA S.A.;20247322022973;0
ALLIED TECNOLOGIA S.A.;20247322007826;0
ALLIED TECNOLOGIA S.A.;20247322010100;0
ALLIED TECNOLOGIA S.A.;20247322020849;0
ALLIED TECNOLOGIA S.A.;20247322002352;0
ALLIED TECNOLOGIA S.A.;20247322003405;0
ALLIED TECNOLOGIA S.A.;20247322012404;0
ALLIED TECNOLOGIA S.A.;20247322012153;0
ALLIED TECNOLOGIA S.A.;20247322012072;0
ALLIED TECNOLOGIA S.A.;20247322011009;0
ALLIED TECNOLOGIA S.A.;20247322022892;0
ALLIED TECNOLOGIA S.A.;20247322001461;0
ALLIED TECNOLOGIA S.A.;20247322002271;0
ALLIED TECNOLOGIA S.A.;20247322023350;0
ALLIED TECNOLOGIA S.A.;20247322009101;0
ALLIED S/A.;4416818005029;0
ALLIED TECNOLOGIA S.A.;20247322012749;0
ALLIED TECNOLOGIA S.A.;20247322017708;0
ALLIED TECNOLOGIA S.A.;20247322003596;0
ALLIED TECNOLOGIA S.A.;20247322003162;0
ALLIED TECNOLOGIA S.A.;20247322011939;0
ALLIED TECNOLOGIA S.A.;20247322009950;0
ALLIED TECNOLOGIA S.A.;20247322000813;0
ALLIED TECNOLOGIA S.A.;20247322017465;0
ALLIED TECNOLOGIA S.A.;20247322012234;0
ALLIED TECNOLOGIA S.A.;20247322006420;0
ALLIED TECNOLOGIA S.A.;20247322007745;0
ALLIED TECNOLOGIA S.A.;20247322008040;0
ALLIED TECNOLOGIA S.A.;20247322013397;0
ALLIED TECNOLOGIA S.A.;20247322010533;0
ALLIED TECNOLOGIA S.A.;20247322012587;0
ALLIED TECNOLOGIA S.A.;20247322008806;0
ALLIED TECNOLOGIA S.A.;20247322012315;0
ALLIED TECNOLOGIA S.A.;20247322010029;0
ALLIED TECNOLOGIA S.A.;20247322006188;0
ALLIED TECNOLOGIA S.A.;20247322022205;0
ALLIED TECNOLOGIA S.A.;20247322000732;0
ALLIED TECNOLOGIA S.A.;20247322017546;0
ALLIED TECNOLOGIA S.A.;20247322016574;0
ALLIED TECNOLOGIA S.A.;20247322006773;0
ALLIED TECNOLOGIA S.A.;20247322009527;0
ALLIED TECNOLOGIA S.A.;20247322008555;0
ALLIED TECNOLOGIA S.A.;20247322001704;0
ALLIED TECNOLOGIA S.A.;20247322006269;0
ALLIED TECNOLOGIA S.A.;20247322000813;0
ALLIED TECNOLOGIA S.A.;20247322021063;0
ALLIED TECNOLOGIA S.A.;20247322016060;0
ALLIED TECNOLOGIA S.A.;20247322018518;0
ALLIED TECNOLOGIA S.A.;20247322017627;0
ALLIED TECNOLOGIA S.A.;20247322002514;0
ALLIED TECNOLOGIA S.A.;20247322011696;0
ALLIED TECNOLOGIA S.A.;20247322009870;0
ALLIED TECNOLOGIA S.A.;20247322016655;0
ALLIED TECNOLOGIA S.A.;20247322016140;0
ALLIED TECNOLOGIA S.A.;20247322011505;0
ALLIED TECNOLOGIA S.A.;20247322006854;0
ALLIED TECNOLOGIA S.A.;20247322002271;0
ALLIED TECNOLOGIA S.A.;20247322010452;0
ALLIED TECNOLOGIA S.A.;20247322007079;0
ALLIED TECNOLOGIA S.A.;20247322015845;0
ALLIED TECNOLOGIA S.A.;20247322019751;0
ALLIED TECNOLOGIA S.A.;20247322013206;0
ALLIED TECNOLOGIA S.A.;20247322018003;0
ALLIED TECNOLOGIA S.A.;20247322003596;0
ALLIED TECNOLOGIA S.A.;20247322015683;0
ALLIED TECNOLOGIA S.A.;20247322022388;0
ALLIED TECNOLOGIA S.A.;20247322011777;0
ALLIED TECNOLOGIA S.A.;20247322001623;0
ALLIED TECNOLOGIA S.A.;20247322008121;0
ALLIED TECNOLOGIA S.A.;20247322013800;0
ALLIED TECNOLOGIA S.A.;20247322017970;0
ALLIED TECNOLOGIA S.A.;20247322007150;0
ALLIED TECNOLOGIA S.A.;20247322017384;0
ALLIED TECNOLOGIA S.A.;20247322001038;0
ALLIED TECNOLOGIA S.A.;20247322005700;0
ALLIED TECNOLOGIA S.A.;20247322006340;0
ALLIED TECNOLOGIA S.A.;20247322012668;0
ALLIED TECNOLOGIA S.A.;20247322013982;0
ALLIED TECNOLOGIA S.A.;20247322015179;0
ALLIED TECNOLOGIA S.A.;20247322016817;0
ALLIED TECNOLOGIA S.A.;20247322000490;0
ALLIED TECNOLOGIA S.A.;20247322020091;0
ALLIED TECNOLOGIA S.A.;20247322007311;0
ALLIED TECNOLOGIA S.A.;20247322002867;0
ALLIED TECNOLOGIA S.A.;20247322015098;0
ALLIED TECNOLOGIA S.A. ;20247322021810;0
ALLIED TECNOLOGIA S.A.;20247322014369;0
ALLIED TECNOLOGIA S.A.   ;20247322021497;0
ALLIED TECNOLOGIA S.A.;20247322004568;0
ALLIED TECNOLOGIA S.A.;20247322002603;0
ALLIED TECNOLOGIA S.A.;20247322000228;0
ALLIED TECNOLOGIA S.A.;20247322007583;0
CAFÉ TRÊS CORAÇÕES S/A;17467515002738;0
ALLIED TECNOLOGIA S.A.;20247322003910;0
ALLIED TECNOLOGIA S.A.;20247322014440;0
ALLIED TECNOLOGIA S.A.;20247322001895;0
CAFÉ TRÊS CORAÇÕES S/A;17467515004609;0
ALLIED TECNOLOGIA S.A.;20247322004053;0
CAFÉ TRÊS CORAÇÕES S/A;17467515004277;0
ALLIED TECNOLOGIA S.A.;20247322014601;0
ASA BRANCA VI ENERGIAS RENOVAVEIS S.A;11694617000251;0
CAFÉ TRÊS CORAÇÕES S/A;17467515003700;0
ALLIED TECNOLOGIA S.A.;20247322018275;0
ALLIED TECNOLOGIA S.A.;20247322021730;0
COND. CAMINO TULIPA;20.817.543/0001-03;0
ALLIED TECNOLOGIA S.A.;20247322003324;0
CAFÉ TRÊS CORAÇÕES S/A;17467515003548;0
ALLIED TECNOLOGIA S.A.;20247322014873;0
ALLIEDS/A.;4416818004804;0
ALLIED TECNOLOGIA S.A.;20247322002948;0
ALLIED TECNOLOGIA S.A.;20247322019832;0
ALLIED TECNOLOGIA S.A.;20247322016493;0
ALLIED TECNOLOGIA S.A.;20247322021659;0
CAUV - Colégio Adventista União da Vitória - EIEF;76726884003496;0
COND. EDIF. BAHAMAS;54.964.002/0001-20;0
ALLIED TECNOLOGIA S.A.;20247322012749;0
ALLIED TECNOLOGIA S.A.;20247322017201;0
ASA BRANCA IV ENERGIAS RENOVAVEIS S.A;11681456000261;0
Bar e restaurante metrópole ltda;51889608000150;0
CAFÉ TRÊS CORAÇÕES S/A;17467515002657;0
CASJP - Colégio Adventista São José dos Pinhais - EIEFM;76726884005863;0
COND. COMPLEXO LEOPOLDO - SUBCOND ZENITH;20.195.261/0001-11;0
COND. EDIF. CAMPOBELLO OFFICE CENTER;01.126.230/0001-64;0
CAFETERIAS TRES CORACOES LTDA ;05560126000568;0
CAFETERIAS TRES CORACOES LTDA ;05560126000134;0
COND. EDIF.  ADOLPHO LUTZ;54.225.123/0001-50;0
CAFÉ TRÊS CORAÇÕES S/A;17467515004439;0
ALLIED TECNOLOGIA S.A.;20247322023864;0
ALLIED TECNOLOGIA SA;20247322005106;0
CAFÉ TRÊS CORAÇÕES S/A;17467515004439;0
CLASSIC CONDOMINIUM CLUB;07.961.602/0001-54;0
COND. EDIF. AIROSA;-;0
COND. EDIF.  ANDREA;54.072.558/0001-01;0
ALLIED TECNOLOGIA S.A.;20247322013125;0
COND. EDIF. CAMPOBELLO GARDEN HOUSE;66.056.474/0001-63;0
CAIEIRAS EMPREENDIMENTOS IMOBILIARIOS LTDA - FILIAL;26738688000367;0
ALLIED TECNOLOGIA S.A.;20247322021578;0
CHÁCARA DAS FLORES - EDIF. CAREME;53.835.344/0001-87;0
CONCURSOS PSI EMPREENDIMENTOS EDITORIAIS LTDA;17975878000145;0
COND. EDIF. GIARDINO DI CAPRI;55.797.898/0001-62;0
COND. EDIF. BLUE STAR;66.859.307/0001-50;0
ALLIED TECNOLOGIA SA;20247322005106;0
ALLIED TECNOLOGIA S.A.;20247322017112;0
COND. EDIF. ELIANE;54.223.433/0001-35;0
COND. EDIF. CARMO DO RIO VERDE;01.845.576/0001-12;0
COND. EDIF. KEY BISCAYNE;00.247.399/0001-00;0
COND. DOUBLE OFFICE SANTANA;22.276.743/0001-21;0
COND. EDIF. JURUÁ;17.714.094/0001-63;0
CAFÉ TRÊS CORAÇÕES S/A;17467515002819;0
COND. EDIF. AIMBERE;-;0
ARB SOLUCAO INDUSTRIAL;23365055000109;0
COND. EDIF. HIGIENOPOLIS BUSINESS CENTER;01.066.069/0001-80;0
COND. EDIF. BROOKLIN TO LIVE;13.513.443/0001-28;0
BERTOLUCCI E CIA LTDA – ME;06923561000220;0
ALLIED TECNOLOGIA S.A.;20247322021144;0
ASA BRANCA VII ENERGIAS RENOVAVEIS S.A;11694618000204;0
CAFÉ TRÊS CORAÇÕES S/A;17467515003386;0
B2W COMPANHIA DIGITAL;00776574000660;0
CAFÉ TRÊS CORAÇÕES S/A;17467515004510;0
COND. EDIF. CAMPO BELO WORK CENTER;01.641.269/0001-10;0
CAMPO LIMPO TAMPAS E RESINAS PLASTICAS LTDA;19890579000133;0
COMERCIAL AUTOMOTIVA S.A.;45987005000198;0
COND. EDIF. CORTINA D AMPEZZO;59.396.630/0001-70;0
COND. EDIF. ILHA DE IF;04.181.551/0001-50;0
CAFETERIAS TRES CORACOES LTDA ;05560126000649;0
