empresa;documento
Cota;24672820000198
Mercado Santa Rita;02522851000120
Editora bambole;22622213000198
WaM;25309101000170
Ferraz Group;48619905000170
Não tenho;36609156000111
SENAI;03774819001761
Bar e lanchonete Dona Maria;14034415000190
SOLID EQUIPAMENTOS;15086280000170
IBIS LIBRIS;09238097000140
EDITORA DCL;60444098000106
vestseller;07519426000103
Quadrante Editora ;28806912000174
Editora VestSeller;07519426000103
LB SOLUÇÕES DE INFORMÁTICA E SUPRIMENTOS;30699504000102
IdGroup Brasil;05566268000109
Tecnogera;08100057000174
EDITORA DCL;60444098000106
ANDRA MATERIAIS ELÉTRICOS;47674429000128
Dvicz Sorvetes;81073090000142
Aramacanb;57510760000166
COFIBAM ;43563840000175
Worth a Million;25309101000170
ULTRAFAR;07555491000186
ConectWi;15527632000185
EDITORA EUROPA;56934599000195
BASE FLUVIAL DE LADÁRIO;00394502005294
Azuli;11121708000117
Lumav;30831828000152
BBM PORTO BRÁS;20423126000186
Shopping La Playa;03007996000155
Nativa Produtos Naturais;27866661000150
AAE COLÉGIO ESTADUAL HILKA DE ARAUJO PEÇANHA;01943611000136
INTELIT;10682187000104
HADASS;07967729000180
2B Educação;28575649000150
Solutions;30563249000176
SENAI;03774819001761
Conflan;60520012000179
FIT;21873863000143
PREFEITURA MUNICIPAL DE PORTO ESTRELA;24740268000128
Restaurante Parada do Churrasco;28126521000109
Five Hunt;77776541000130
White Martins;35820448009869
CODEMAR S.A.;20009382000121
CJ Piramides;60281482000127
Escola Camb;27970269000157
Macacos Hidraulicos;02752182000182
Ewqoepqo;46418027000108
SPTURIS;62002886000160
Açaí Magnífico - Vila Romana;31268393000142
WYDE ENGENHARIA;05463902000188
WDK Roupas e Acessorios;31641081000132
Jose;17616481000167
AGILLUX SOLUÇÕES ELÉTRICAS ;23488557000119
DIRETO DA SERRA;22102703000163
JAU;37344413000101
Merc;88664448000150
Valve Engenhari;26713385000128
Leozao Fantasia;05047198000182
casa do game;04215707000176
Cotabox;24672820000198
Sony Music;43203520000104
GEMANTEC EMPILHADEIRAS;08060484000176
Fogás;04563672000166
Primer Construtora;27338798000132
Fogás - MATRIZ;04563672000166
GLOBALPACK ;04558449000392
WS SOLUÇÕES INTEGRADAS ;32155410000106
Piscina Fácil;10879917000161
Pangea trade;21830015000157
aguia de ouro distribuidora de alimentos;25142346000155
asdasdasda;96417135000126
TV SBT;45039237000114
Sesc;03591097000657
LOPES IMOBILIARIA;08078847000109
TAJ MAHAL;13307082000163
TUPY;84683374000300
ATM Asfaltos;27728911000196
imprimindo;03927250000160
torio brasil;07240707000114
BLP;27402383000180
SUPPLY PLUS SOURCING & PROCUREMENT EXPERTS;22208624000131
Freitas Pozzatti Solucoes Imobiliarias;10823231000159
HABITACIONAL COMERCIAL E ADMINISTRADORA LTDA;62309216000190
Cotabox;24672820000198
ENGEFORM DESENVOLVIMENTO IMOBILIARIO;16604261000150
KURUMÁ VEÍCULOS;00827783000181
MACKENZIE;60967551000150
Mackenzie;60967551000150
Mackenzie;60967551000150
EPHARMA;03448808000124
CONDOMINIO JATOBA;08919536000117
ESCOLA DE INTELIGENCIA;11468719000178
FARG SOLUÇÕES;18618294000185
RENAULT DO BRASIL;00913443000173
Si Senor - Sede Administrativa;10291637000138
COREN - SP;44413680000140
EBCP ;04405242000116
TV1-PONTO COM                      ;04405242000116
TV1-Xlab ;04405242000116
TV1-RP              ;04405242000116
TV1- CONTEUDO & VIDEO          ;04405242000116
GNova           ;09160240000128
Gnova-Experience ;09160240000128
EBCP/Brasilia                ;04405242000205
Gnova-XLAB ;09160240000128
Gnova-PCom ;09160240000128
Gnova-BrandPR ;09160240000128
Gnova-Conteudo & Video ;09160240000128
VEPER SERVIÇOS DE VIGILANCIA;01848003000142
Gnova-BH ;09160240000128
Gnova-Brasília ;09160240000128
teste empresa;45254854000158
;-
00960 - COND. EDIF. YANG BROOKLIN;24902212000122
00961 - COND. EDIF. GAIVOTA;28876998000101
0910 - COND. EDIF. PARAISO;54219845000100
0297 - COND. EDIF. LIVING HARMONY SACOMÃ;30647512000105
0292 - COND. EDIF. TOMIE OHTAKE;59.087.585/0001-71
0299 - COND. EDIF. ESSENCIA VILA ROMANA;-
0294 - COND. EDIF. PARACATU;12.488.876/0001-08
0964 - COND. EDIF. ALTO SÃO FRANCISCO;30257127000151
0306 - COND. EDIF. ESPACO COR;05095594000185
0963 - COND. VIVA MAIS BARUERI CONDOMINIO CLUBE;24782920000177
0295 - COND. EDIF. PARQUE ESTAÇÃO JANDIRA;31191608000174
0296 - EDIF. RESID. PRAXX ITATIBA;-
0959 - COND. EDIF. TAPAJÓS;00154437000180
0630 - COND. CONJ. RES. JARDIM DA CIDADE;54200795000100
0940 - CONDOMÍNIO BK30 LARGO DO AROUCHE;33000414000170
0803 - COND. EDIF. AIROSA;65089104000160
0966 - COND. EDIF. SPACE VILA PRUDENTE;NAO INFORMADO
0720 - COND. RESIDENCIAL PASSEIO MORUMBI;-
0725 - COND. LIBER VILLAGE CAMPO LIMPO;19831898000178
0834 EDIFICIO LE TEMP'S CAMPO BELO;21.612.442/0001-69
0967 - COND. EDIF. LIBER VILLAGE CAMPO LIMPO;19831898000178
703 CONDOMINIO LINK IPIRANGA;33551496000140
1161 - COND. EDIF. PEROLA;71731053000120
0973 CONDOMÍNIO GAFISA SQUARE CHOICE;66362208000169
3CAFFI INDUSTRIA E COMERCIO DE CAPSULAS S.A ;19675900000167
3CORACOES NORTE COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.;27774514000150
0984 - CONDOMINIO EDIFICIO JUPITER;10346275000135
0996 - Condomínio Edifício Palais Blanc;07480584000199
705	COND. EDF. CONQUISTA PARQUE HIPOLITO;35618108000127
707	COND. CONQUISTA JARDIM AMARALINA;33434857000179
0969 - COND. LANDSCAPE VILA MASCOTE;16965067000109
706	VIVAMAR - CONDOMÍNIO BEM TE VI ;-
0968 - CONDOMÍNIO EDIFÍCIO VILLA DEI FIORI;57866493000164
0970 - COND. EDIF. ELDORADO RESIDENCIAL BUTANTÃ;-
708 COND. SIDE ATLÂNTICA;-
709	COND. EDIF. SOLAR DOS PALMARES;65088841000148
710 COND. LIVING WISH LAPA;-
733 VIVAMAR – CONDOMÍNIO SABIA;
724 - Condomínio Resid. Lírio Morumbi;-
717	COND. EDIF. MOVVA SP;-
713	CONDOMÍNIO ANDORRA - EDIF. D'ORSAY;-
711 COND. EDIF. BOSQUES DE TAMBORE;07608944000195
712	COND. EDIF. ADRIANA;55233191000123
714	VIVAMAR - CONDOMINIO CANÁRIO;-
718	CONDOMÍNIO PRAÇA MOOCA;-
736 CONDOMÍNIO ANDORRA - EDIF. BILBAO;
723 - COND. EDIF. UPLIFE INTERLAGOS;-
756 CONDOMÍNIO RESERVA DO ALTO;37681257000166
735 CONDOMINIO CITIZEN PAULISTA;-
716	COND. EDIF. VIVA VIDA FIGUEIRAS;-
809 EDIFICIO RESIDENCIAL UPCON ITACEMA;-
876 - CONJ. RES. MAURO E BRAIDO;59936112000100
904 - EDIF. COMERCIAL PRAXX ITATIBA;-
943 COND. EDIF. SIMONE;54459292000154
964 COND. EDIF. ALTO SÃO FRANCISCO;30257127000151
965 COND. EDIF. PRAÇA DAS TRES TORRES;54072343000190
967 - CONDOMÍNIO BKO WAVE SÁUDE;31815397000101
985 - COND. RESIDENCIAL UNIK;24206733000145
971 CONDOMINIO CLIMA DO BOSQUE;11880551000103
972 EDIFICIO RG OSCAR;33031912000180
986 CONDOMÍNIO CONQUISTA VILA SÔNIA;33433710000164
975 - EDIFICIO MAISON D'AMBOISE;01398968000180
987 RESIDENCIAL SYNTHESIS PINHEIRO;-
976 - CONDOMÍNIO TERRAVISTA VILAS;10802928000143
977- CONDOMÍNIO PRAÇA PIRATININGA;34563076000147
988 - CONDOMINIO EDIFICIO MODULAR OMICRON;53833166000155
978 - COND. THE PLACE ED. - CANÁRIO E INHAMBU;13042127000115
989 - Conjunto Residencial Mirante da Lapa;59482653000105
991 - CONDOMÍNIO 22 DE MARÇO;-
979 COND. PRAÇA ESTAÇÃO JANDIRA;-
990 - CONDOMÍNIO EDIFÍCIO ETRE PERDIZES;20092718000162
980 CONDOMÍNIO ROYAL ALTO DO IPIRANGA;-
992	ASSOCIAÇÃO PRAÇAS DA CIDADE;24568518000194
997 VILLA FELICITA BONSUCESSO;-
995 RESIDENCIAL VILA DO BOSQUE ITAPEVI;33889803000106
981	CONDOMINIO EDIFICIO PLAZA JK;3815535000109
983 - CONDOMÍNIO CAMPO BELO MEDICAL CENTER;08818926000109
998 CONDOMÍNIO SOL DA SAÚDE RESIDENCIAL;13163866000165
982	CONDOMINIO EDIFICIO ORQUIDEAS;57184046000125
994 CONDOMÍNIO EDIFÍCIO LINO 748;-
999 CONDOMÍNIO RESIDENCIAL MOMA;33222322000134
ALLIED S.A.;4416818004057
ALLIED S.A.;4416818005371
ALLIED S.A.;4416818000655
ALLIED S/A;4416818005533
ALLIED S/A;4416818005029
ALLIED S/A;4416818004308
ALLIED S/A;4416818004057
ALLIED S/A.;4416818004308
ALLIED S/A.;4416818005290
ALLIED S/A.;4416818003247
ALLIED TCNOLOGIA S.A.;20247322018194
ALLIED S/A.;4416818005029
ALLIED TECNOLOGIA S.A;20247322000147
ALLIED TECNOLOGIA S.A;20247322005297
ALLIED TECNOLOGIA S.A;20247322009012
ALLIED TECNOLOGIA S.A;20247322011858
ALLIED TECNOLOGIA S.A.;20247322022540
ALLIED TECNOLOGIA S.A.;20247322003758
ALLIED TECNOLOGIA S.A.;20247322022620
ALLIED TECNOLOGIA S.A.;20247322022701
ALLIED TECNOLOGIA S.A.;20247322022892
ALLIED TECNOLOGIA S.A.;20247322022973
ALLIED TECNOLOGIA S.A.;20247322001461
ALLIED TECNOLOGIA S.A.;20247322006501
ALLIED TECNOLOGIA S.A.;20247322009950
ALLIED TECNOLOGIA S.A.;20247322023783
ALLIED TECNOLOGIA S.A.;20247322021063
ALLIED TECNOLOGIA S.A.;20247322000813
ALLIED TECNOLOGIA S.A.;20247322000570
ALLIED TECNOLOGIA S.A.;20247322003596
ALLIED TECNOLOGIA S.A.;20247322006005
ALLIED TECNOLOGIA S.A.;20247322020504
ALLIED TECNOLOGIA S.A.;20247322001208
ALLIED TECNOLOGIA S.A.;20247322002786
ALLIED TECNOLOGIA S.A.;20247322002271
ALLIED TECNOLOGIA S.A.;20247322003162
ALLIED TECNOLOGIA S.A.;20247322002433
ALLIED TECNOLOGIA S.A.;20247322015250
ALLIED TECNOLOGIA S.A.;20247322015330
ALLIED TECNOLOGIA S.A.;20247322012587
ALLIED TECNOLOGIA S.A.;20247322016574
ALLIED TECNOLOGIA S.A.;20247322001119
ALLIED TECNOLOGIA S.A.;20247322012153
ALLIED TECNOLOGIA S.A.;20247322016736
ALLIED TECNOLOGIA S.A.;20247322016655
ALLIED TECNOLOGIA S.A.;20247322001380
ALLIED TECNOLOGIA S.A.;20247322006420
ALLIED TECNOLOGIA S.A.;20247322014105
ALLIED TECNOLOGIA S.A.;20247322007745
ALLIED TECNOLOGIA S.A.;20247322007826
ALLIED TECNOLOGIA S.A.;20247322009799
ALLIED TECNOLOGIA S.A.;20247322007907
ALLIED TECNOLOGIA S.A.;20247322008040
ALLIED TECNOLOGIA S.A.;20247322008989
ALLIED TECNOLOGIA S.A.;20247322008717
ALLIED TECNOLOGIA S.A.;20247322007664
ALLIED TECNOLOGIA S.A.;20247322009527
ALLIED TECNOLOGIA S.A.;20247322009608
ALLIED TECNOLOGIA S.A.;20247322009446
ALLIED TECNOLOGIA S.A.;20247322001208
ALLIED TECNOLOGIA S.A.;20247322011009
ALLIED TECNOLOGIA S.A.;20247322010886
ALLIED TECNOLOGIA S.A.;20247322004720
ALLIED TECNOLOGIA S.A.;20247322010967
ALLIED TECNOLOGIA S.A.;20247322021225
ALLIED TECNOLOGIA S.A.;20247322010029
ALLIED TECNOLOGIA S.A.;20247322021306
ALLIED TECNOLOGIA S.A.;20247322022388
ALLIED TECNOLOGIA S.A.;20247322009365
ALLIED TECNOLOGIA S.A.;20247322009101
ALLIED TECNOLOGIA S.A.;20247322022205
ALLIED TECNOLOGIA S.A.;20247322023600
ALLIED TECNOLOGIA S.A.;20247322023007
ALLIED TECNOLOGIA S.A.;20247322023511
ALLIED TECNOLOGIA S.A.;20247322023350
ALLIED TECNOLOGIA S.A.;20247322011181
ALLIED TECNOLOGIA S.A.;20247322023430
ALLIED TECNOLOGIA S.A.;20247322006773
ALLIED TECNOLOGIA S.A.;20247322023198
ALLIED TECNOLOGIA S.A.;20247322023279
ALLIED TECNOLOGIA S.A.;20247322007311
ALLIED TECNOLOGIA S.A.;20247322008636
ALLIED TECNOLOGIA S.A.;20247322008393
ALLIED TECNOLOGIA S.A.;20247322006935
ALLIED TECNOLOGIA S.A.;20247322006692
ALLIED TECNOLOGIA S.A.;20247322008474
ALLIED TECNOLOGIA S.A.;20247322006854
ALLIED TECNOLOGIA S.A.;20247322011262
ALLIED TECNOLOGIA S.A.;20247322007230
ALLIED TECNOLOGIA S.A.;20247322011343
ALLIED TECNOLOGIA S.A.;20247322011696
ALLIED TECNOLOGIA S.A.;20247322003596
ALLIED TECNOLOGIA S.A.;20247322011505
ALLIED TECNOLOGIA S.A.;20247322011424
ALLIED TECNOLOGIA S.A.;20247322008717
ALLIED TECNOLOGIA S.A.;20247322015179
ALLIED TECNOLOGIA S.A.;20247322007583
ALLIED TECNOLOGIA S.A.;20247322008202
ALLIED TECNOLOGIA S.A.;20247322007079
ALLIED TECNOLOGIA S.A.;20247322010100
ALLIED TECNOLOGIA S.A.;20247322010452
ALLIED TECNOLOGIA S.A.;20247322007150
ALLIED TECNOLOGIA S.A.;20247322010703
ALLIED TECNOLOGIA S.A.;20247322010614
ALLIED TECNOLOGIA S.A.;20247322010533
ALLIED TECNOLOGIA S.A.;20247322011777
ALLIED TECNOLOGIA S.A.;20247322010371
ALLIED TECNOLOGIA S.A.;20247322010290
ALLIED TECNOLOGIA S.A.;20247322008121
ALLIED TECNOLOGIA S.A.;20247322008806
ALLIED TECNOLOGIA S.A.;20247322020768
ALLIED TECNOLOGIA S.A.;20247322012234
ALLIED TECNOLOGIA S.A.;20247322012315
ALLIED TECNOLOGIA S.A.;20247322020849
ALLIED TECNOLOGIA S.A.;20247322012072
ALLIED TECNOLOGIA S.A.;20247322017708
ALLIED TECNOLOGIA S.A.;20247322012404
ALLIED TECNOLOGIA S.A.;20247322011939
ALLIED TECNOLOGIA S.A.;20247322017899
ALLIED TECNOLOGIA S.A.;20247322017970
ALLIED TECNOLOGIA S.A.;20247322017465
ALLIED TECNOLOGIA S.A.;20247322017384
ALLIED TECNOLOGIA S.A.;20247322017546
ALLIED TECNOLOGIA S.A.;20247322017627
ALLIED TECNOLOGIA S.A.;20247322000309
ALLIED TECNOLOGIA S.A.;20247322000490
ALLIED TECNOLOGIA S.A.;20247322003405
ALLIED TECNOLOGIA S.A.;20247322004134
ALLIED TECNOLOGIA S.A.;20247322001542
ALLIED TECNOLOGIA S.A.;20247322004215
ALLIED TECNOLOGIA S.A.;20247322004304
ALLIED TECNOLOGIA S.A.;20247322001038
ALLIED TECNOLOGIA S.A.;20247322001704
ALLIED TECNOLOGIA S.A.;20247322003677
ALLIED TECNOLOGIA S.A.;20247322001623
ALLIED TECNOLOGIA S.A.;20247322005459
ALLIED TECNOLOGIA S.A.;20247322005963
ALLIED TECNOLOGIA S.A.;20247322005378
ALLIED TECNOLOGIA S.A.;20247322002352
ALLIED TECNOLOGIA S.A.;20247322005700
ALLIED TECNOLOGIA S.A.;20247322005610
ALLIED TECNOLOGIA S.A.;20247322006269
ALLIED TECNOLOGIA S.A.;20247322005882
ALLIED TECNOLOGIA S.A.;20247322006188
ALLIED TECNOLOGIA S.A.;20247322005530
ALLIED TECNOLOGIA S.A.;20247322008555
ALLIED TECNOLOGIA S.A.;20247322009870
ALLIED TECNOLOGIA S.A.;20247322009284
ALLIED TECNOLOGIA S.A.;20247322013478
ALLIED TECNOLOGIA S.A.;20247322012749
ALLIED TECNOLOGIA S.A.;20247322013397
ALLIED TECNOLOGIA S.A.;20247322014369
ALLIED TECNOLOGIA S.A.;20247322018275
ALLIED TECNOLOGIA S.A.;20247322001976
ALLIED TECNOLOGIA S.A.;20247322022116
ALLIED TECNOLOGIA S.A.;20247322000902
ALLIED TECNOLOGIA S.A.;20247322000732
ALLIED TECNOLOGIA S.A.;20247322001895
ALLIED TECNOLOGIA S.A.;20247322004800
ALLIED TECNOLOGIA S.A.;20247322002000
ALLIED TECNOLOGIA S.A.;20247322003910
ALLIED TECNOLOGIA S.A.;20247322000651
ALLIED TECNOLOGIA S.A.;20247322004053
ALLIED TECNOLOGIA S.A.;20247322013044
ALLIED TECNOLOGIA S.A.;20247322013630
ALLIED TECNOLOGIA S.A.;20247322005025
ALLIED TECNOLOGIA S.A.;20247322014520
ALLIED TECNOLOGIA S.A.;20247322006340
ALLIED TECNOLOGIA S.A.;20247322014873
ALLIED TECNOLOGIA S.A.;20247322000813
ALLIED TECNOLOGIA S.A.;20247322007400
ALLIED TECNOLOGIA S.A.;20247322014288
ALLIED TECNOLOGIA S.A.;20247322012668
ALLIED TECNOLOGIA S.A.;20247322014954
ALLIED TECNOLOGIA S.A.;20247322018003
ALLIED TECNOLOGIA S.A.;20247322013559
ALLIED TECNOLOGIA S.A.;20247322015098
ALLIED TECNOLOGIA S.A.;20247322014016
ALLIED TECNOLOGIA S.A.;20247322012900
ALLIED TECNOLOGIA S.A.;20247322013710
ALLIED TECNOLOGIA S.A.;20247322013125
ALLIED TECNOLOGIA S.A.;20247322014601
ALLIED TECNOLOGIA S.A.;20247322013982
ALLIED TECNOLOGIA S.A.;20247322014792
ALLIED TECNOLOGIA S.A.;20247322013800
ALLIED TECNOLOGIA S.A.;20247322014440
ALLIED TECNOLOGIA S.A.;20247322013206
ALLIED TECNOLOGIA S.A.;20247322012820
ALLIED TECNOLOGIA S.A.;20247322018518
ALLIED TECNOLOGIA S.A.;20247322018356
ALLIED TECNOLOGIA S.A.;20247322003839
ALLIED TECNOLOGIA S.A.;20247322003081
ALLIED TECNOLOGIA S.A.;20247322002514
ALLIED TECNOLOGIA S.A.;20247322004991
ALLIED TECNOLOGIA S.A.;20247322003324
ALLIED TECNOLOGIA S.A.;20247322004568
ALLIED TECNOLOGIA S.A.;20247322002948
ALLIED TECNOLOGIA S.A.;20247322002603
ALLIED TECNOLOGIA S.A.;20247322004487
ALLIED TECNOLOGIA S.A.;20247322002867
ALLIED TECNOLOGIA S.A.;20247322004649
ALLIED TECNOLOGIA S.A.;20247322003243
ALLIED TECNOLOGIA S.A.;20247322002271
ALLIED TECNOLOGIA S.A.;20247322017031
ALLIED TECNOLOGIA S.A.;20247322019832
ALLIED TECNOLOGIA S.A.;20247322019751
ALLIED TECNOLOGIA S.A.;20247322019913
ALLIED TECNOLOGIA S.A.;20247322017112
ALLIED TECNOLOGIA S.A.;20247322020091
ALLIED TECNOLOGIA S.A.;20247322023864
ALLIED TECNOLOGIA S.A.;20247322015764
ALLIED TECNOLOGIA S.A.;20247322015683
ALLIED TECNOLOGIA S.A.;20247322015926
ALLIED TECNOLOGIA S.A.;20247322015845
ALLIED TECNOLOGIA S.A.;20247322016060
ALLIED TECNOLOGIA S.A.;20247322015411
ALLIED TECNOLOGIA S.A.;20247322016140
ALLIED TECNOLOGIA S.A.;20247322016221
ALLIED TECNOLOGIA S.A.;20247322015500
ALLIED TECNOLOGIA S.A.;20247322016302
ALLIED TECNOLOGIA S.A.;20247322016493
ALLIED TECNOLOGIA S.A.;20247322017201
ALLIED TECNOLOGIA S.A.;20247322021144
ALLIED TECNOLOGIA S.A.;20247322012749
ALLIED TECNOLOGIA S.A.;20247322016817
ALLIED TECNOLOGIA S.A.;20247322022035
ALLIED TECNOLOGIA S.A.;20247322016906
